date,mask,hat,activity
2022-09-01,null,null,null
2022-09-02,true,true,transit
2022-09-03,null,null,null
2022-09-04,false,false,work
2022-09-05,false,true,academics
2022-09-06,false,true,chilling
2022-09-07,true,true,work
2022-09-08,false,false,work
2022-09-09,false,true,transit
2022-09-10,false,true,friends
2022-09-11,null,null,null
2022-09-12,false,true,transit
2022-09-13,false,true,academics
2022-09-14,true,true,work
2022-09-15,false,true,work
2022-09-16,false,false,chilling
2022-09-17,false,false,work
2022-09-18,true,false,transit
2022-09-19,false,false,transit
2022-09-20,false,false,chilling
2022-09-21,false,true,work
2022-09-22,false,false,friends
2022-09-23,false,false,work
2022-09-24,false,false,work
2022-09-25,false,false,work
2022-09-26,false,true,chilling
2022-09-27,null,null,null
2022-09-28,null,null,null
2022-09-29,null,null,null
2022-09-30,null,null,null
